"Union Membership, Coverage, Density and Employment by State, 2000 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,254","1,877,929","180,838","197,564",9.6,10.5,
63,Alabama,Private,"1,890","1,576,418","91,518","98,643",5.8,6.3,
63,Alabama,Public,364,"301,512","89,320","98,922",29.6,32.8,
63,Alabama,Priv. Construction,118,"98,430","5,123","5,123",5.2,5.2,
63,Alabama,Priv. Manufacturing,442,"371,759","53,443","55,151",14.4,14.8,
94,Alaska,Total,"1,929","259,398","56,848","64,273",21.9,24.8,
94,Alaska,Private,"1,338","181,999","23,322","26,742",12.8,14.7,
94,Alaska,Public,591,"77,400","33,526","37,531",43.3,48.5,
94,Alaska,Priv. Construction,112,"15,228","3,154","3,732",20.7,24.5,
94,Alaska,Priv. Manufacturing,73,"9,145","1,082","1,082",11.8,11.8,
86,Arizona,Total,"2,483","2,014,558","129,667","147,849",6.4,7.3,
86,Arizona,Private,"2,088","1,690,788","71,545","82,714",4.2,4.9,
86,Arizona,Public,395,"323,771","58,122","65,135",18.0,20.1,
86,Arizona,Priv. Construction,196,"158,538","8,616","11,571",5.4,7.3,
86,Arizona,Priv. Manufacturing,291,"236,200","12,283","12,283",5.2,5.2,
71,Arkansas,Total,"2,034","1,052,110","61,475","70,933",5.8,6.7,
71,Arkansas,Private,"1,696","871,574","35,135","42,599",4.0,4.9,
71,Arkansas,Public,338,"180,536","26,340","28,334",14.6,15.7,
71,Arkansas,Priv. Construction,96,"51,439","4,679","4,679",9.1,9.1,
71,Arkansas,Priv. Manufacturing,447,"226,885","10,562","14,472",4.7,6.4,
93,California,Total,"13,139","14,358,632","2,295,130","2,545,979",16.0,17.7,
93,California,Private,"11,148","12,141,328","1,180,230","1,293,052",9.7,10.7,
93,California,Public,"1,991","2,217,304","1,114,900","1,252,927",50.3,56.5,
93,California,Priv. Construction,670,"738,760","176,288","183,577",23.9,24.8,
93,California,Priv. Manufacturing,"2,067","2,207,441","163,471","181,582",7.4,8.2,
84,Colorado,Total,"2,419","1,923,096","173,177","192,999",9.0,10.0,
84,Colorado,Private,"2,045","1,630,994","97,934","102,896",6.0,6.3,
84,Colorado,Public,374,"292,102","75,243","90,103",25.8,30.8,
84,Colorado,Priv. Construction,170,"137,164","9,271","9,271",6.8,6.8,
84,Colorado,Priv. Manufacturing,296,"230,790","31,060","33,344",13.5,14.4,
16,Connecticut,Total,"1,756","1,508,255","245,797","262,459",16.3,17.4,
16,Connecticut,Private,"1,521","1,312,980","123,988","134,347",9.4,10.2,
16,Connecticut,Public,235,"195,275","121,809","128,111",62.4,65.6,
16,Connecticut,Priv. Construction,66,"58,180","12,930","12,930",22.2,22.2,
16,Connecticut,Priv. Manufacturing,334,"287,106","44,194","45,952",15.4,16.0,
51,Delaware,Total,"1,788","353,486","46,926","51,693",13.3,14.6,
51,Delaware,Private,"1,527","301,984","26,881","28,930",8.9,9.6,
51,Delaware,Public,261,"51,502","20,046","22,763",38.9,44.2,
51,Delaware,Priv. Construction,103,"20,659","2,022","2,236",9.8,10.8,
51,Delaware,Priv. Manufacturing,275,"53,653","10,615","11,089",19.8,20.7,
53,D.C.,Total,"1,614","243,720","35,871","40,212",14.7,16.5,
53,D.C.,Private,"1,157","175,346","16,698","18,856",9.5,10.8,
53,D.C.,Public,457,"68,373","19,174","21,356",28.0,31.2,
53,D.C.,Priv. Construction,51,"7,861","1,484","1,484",18.9,18.9,
53,D.C.,Priv. Manufacturing,44,"6,558",971,"1,384",14.8,21.1,
59,Florida,Total,"7,495","6,398,738","433,617","553,599",6.8,8.7,
59,Florida,Private,"6,464","5,519,493","182,695","232,794",3.3,4.2,
59,Florida,Public,"1,031","879,244","250,922","320,805",28.5,36.5,
59,Florida,Priv. Construction,506,"431,537","20,338","22,678",4.7,5.3,
59,Florida,Priv. Manufacturing,693,"596,382","25,889","31,691",4.3,5.3,
58,Georgia,Total,"2,706","3,632,439","228,134","266,991",6.3,7.4,
58,Georgia,Private,"2,304","3,104,326","142,857","159,013",4.6,5.1,
58,Georgia,Public,402,"528,113","85,277","107,978",16.1,20.4,
58,Georgia,Priv. Construction,158,"213,171","18,731","18,731",8.8,8.8,
58,Georgia,Priv. Manufacturing,458,"614,027","58,076","60,441",9.5,9.8,
95,Hawaii,Total,"1,586","497,093","123,519","129,074",24.8,26.0,
95,Hawaii,Private,"1,234","386,789","55,514","58,769",14.4,15.2,
95,Hawaii,Public,352,"110,304","68,005","70,305",61.7,63.7,
95,Hawaii,Priv. Construction,65,"19,423","6,024","6,801",31.0,35.0,
95,Hawaii,Priv. Manufacturing,68,"20,802","2,423","2,710",11.6,13.0,
