"Union Membership, Coverage, Density and Employment by State, 2008 (details in table note)",,,,,,,,,,
,,,,,,,,,,
State,,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,,
63,Alabama,Total,"1,737","1,858,383","181,421","199,359",9.8,10.7,,
63,Alabama,Private,"1,397","1,504,433","76,012","80,590",5.1,5.4,,
63,Alabama,Public,340,"353,950","105,410","118,769",29.8,33.6,,
63,Alabama,Priv. Construction,103,"116,754","8,467","8,467",7.3,7.3,,
63,Alabama,Priv. Manufacturing,259,"269,329","26,997","28,056",10.0,10.4,,
94,Alaska,Total,"2,322","289,064","67,830","71,335",23.5,24.7,,
94,Alaska,Private,"1,657","209,163","23,392","24,911",11.2,11.9,,
94,Alaska,Public,665,"79,900","44,439","46,424",55.6,58.1,,
94,Alaska,Priv. Construction,157,"20,808","7,212","7,360",34.7,35.4,,
94,Alaska,Priv. Manufacturing,51,"6,634",795,795,12.0,12.0,,
86,Arizona,Total,"2,024","2,579,091","227,419","253,948",8.8,9.8,,
86,Arizona,Private,"1,726","2,198,306","154,344","164,406",7.0,7.5,,
86,Arizona,Public,298,"380,784","73,075","89,541",19.2,23.5,,
86,Arizona,Priv. Construction,166,"210,447","24,272","24,272",11.5,11.5,,
86,Arizona,Priv. Manufacturing,204,"258,568","11,094","12,403",4.3,4.8,,
71,Arkansas,Total,"1,760","1,158,113","67,938","85,089",5.9,7.3,,
71,Arkansas,Private,"1,436","949,557","34,583","39,956",3.6,4.2,,
71,Arkansas,Public,324,"208,556","33,356","45,134",16.0,21.6,,
71,Arkansas,Priv. Construction,97,"65,532","1,256","1,256",1.9,1.9,,
71,Arkansas,Priv. Manufacturing,294,"190,171","16,514","17,604",8.7,9.3,,
93,California,Total,"13,917","14,888,985","2,739,901","2,909,494",18.4,19.5,,
93,California,Private,"11,587","12,434,276","1,334,376","1,417,541",10.7,11.4,,
93,California,Public,"2,330","2,454,709","1,405,524","1,491,953",57.3,60.8,,
93,California,Priv. Construction,830,"923,815","186,994","196,386",20.2,21.3,,
93,California,Priv. Manufacturing,"1,638","1,750,529","164,321","174,792",9.4,10.0,,
84,Colorado,Total,"3,818","2,253,763","181,119","208,133",8.0,9.2,,
84,Colorado,Private,"3,214","1,905,056","104,237","116,037",5.5,6.1,,
84,Colorado,Public,604,"348,707","76,882","92,096",22.0,26.4,,
84,Colorado,Priv. Construction,271,"166,231","15,995","15,995",9.6,9.6,,
84,Colorado,Priv. Manufacturing,328,"189,986","20,268","23,610",10.7,12.4,,
16,Connecticut,Total,"4,101","1,624,709","275,221","290,941",16.9,17.9,,
16,Connecticut,Private,"3,447","1,368,506","113,778","125,278",8.3,9.2,,
16,Connecticut,Public,654,"256,204","161,443","165,663",63.0,64.7,,
16,Connecticut,Priv. Construction,197,"78,993","16,873","16,873",21.4,21.4,,
16,Connecticut,Priv. Manufacturing,543,"215,529","17,255","19,655",8.0,9.1,,
51,Delaware,Total,"2,763","390,973","52,297","57,380",13.4,14.7,,
51,Delaware,Private,"2,292","324,691","26,648","28,783",8.2,8.9,,
51,Delaware,Public,471,"66,282","25,649","28,597",38.7,43.1,,
51,Delaware,Priv. Construction,168,"24,085","2,864","2,966",11.9,12.3,,
51,Delaware,Priv. Manufacturing,285,"39,967","6,286","6,286",15.7,15.7,,
53,D.C.,Total,"2,600","288,310","35,207","41,136",12.2,14.3,,
53,D.C.,Private,"1,866","208,499","18,397","21,339",8.8,10.2,,
53,D.C.,Public,734,"79,811","16,811","19,797",21.1,24.8,,
53,D.C.,Priv. Construction,86,"9,489",746,746,7.9,7.9,,
53,D.C.,Priv. Manufacturing,36,"3,851",0,0,0.0,0.0,,
59,Florida,Total,"6,652","7,572,946","482,329","600,511",6.4,7.9,,
59,Florida,Private,"5,590","6,370,895","146,346","192,747",2.3,3.0,,
59,Florida,Public,"1,062","1,202,051","335,983","407,764",28.0,33.9,,
59,Florida,Priv. Construction,443,"520,347","19,124","21,517",3.7,4.1,,
59,Florida,Priv. Manufacturing,390,"451,066","11,655","15,734",2.6,3.5,,
58,Georgia,Total,"3,602","4,083,578","150,695","189,288",3.7,4.6,,
58,Georgia,Private,"2,964","3,371,683","88,705","107,481",2.6,3.2,,
58,Georgia,Public,638,"711,895","61,990","81,807",8.7,11.5,,
58,Georgia,Priv. Construction,226,"259,950","14,683","14,683",5.6,5.6,,
58,Georgia,Priv. Manufacturing,409,"463,215","17,576","20,805",3.8,4.5,,
95,Hawaii,Total,"2,677","561,526","136,274","142,988",24.3,25.5,,
95,Hawaii,Private,"2,128","444,742","72,819","76,130",16.4,17.1,,
95,Hawaii,Public,549,"116,784","63,455","66,858",54.3,57.2,,
95,Hawaii,Priv. Construction,181,"39,312","15,187","15,790",38.6,40.2,,
95,Hawaii,Priv. Manufacturing,64,"13,360","3,338","3,536",25.0,26.5,,
82,Idaho,Total,"1,842","601,523","42,471","48,144",7.1,8.0,,
82,Idaho,Private,"1,484","487,736","23,476","25,930",4.8,5.3,,
82,Idaho,Public,358,"113,786","18,995","22,214",16.7,19.5,,
82,Idaho,Priv. Construction,110,"37,226","2,876","3,162",7.7,8.5,,
82,Idaho,Priv. Manufacturing,218,"71,598","5,189","5,747",7.2,8.0,,
