"Union Membership, Coverage, Density and Employment by State, 1988 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,121","1,554,867","220,543","249,440",14.2,16.0,
63,Alabama,Private,"1,685","1,234,548","144,065","157,338",11.7,12.7,
63,Alabama,Public,436,"320,318","76,478","92,102",23.9,28.8,
63,Alabama,Priv. Construction,115,"83,578","10,882","10,882",13.0,13.0,
63,Alabama,Priv. Manufacturing,489,"354,019","86,685","92,285",24.5,26.1,
94,Alaska,Total,"2,497","185,979","45,145","49,869",24.3,26.8,
94,Alaska,Private,"1,702","125,096","16,879","19,179",13.5,15.3,
94,Alaska,Public,795,"60,882","28,266","30,690",46.4,50.4,
94,Alaska,Priv. Construction,103,"7,464","2,382","2,717",31.9,36.4,
94,Alaska,Priv. Manufacturing,77,"5,623",924,924,16.4,16.4,
86,Arizona,Total,"1,840","1,363,442","94,288","117,975",6.9,8.7,
86,Arizona,Private,"1,539","1,138,642","55,739","64,245",4.9,5.6,
86,Arizona,Public,301,"224,800","38,549","53,730",17.1,23.9,
86,Arizona,Priv. Construction,126,"95,631","13,056","13,798",13.7,14.4,
86,Arizona,Priv. Manufacturing,256,"191,088","9,396","10,742",4.9,5.6,
71,Arkansas,Total,"2,176","892,417","85,601","104,704",9.6,11.7,
71,Arkansas,Private,"1,787","734,000","59,415","74,600",8.1,10.2,
71,Arkansas,Public,389,"158,417","26,186","30,104",16.5,19.0,
71,Arkansas,Priv. Construction,104,"42,207","2,806","2,806",6.6,6.6,
71,Arkansas,Priv. Manufacturing,516,"214,683","41,017","52,616",19.1,24.5,
93,California,Total,"9,679","11,642,848","2,150,115","2,510,460",18.5,21.6,
93,California,Private,"8,067","9,770,353","1,257,397","1,397,428",12.9,14.3,
93,California,Public,"1,612","1,872,495","892,718","1,113,032",47.7,59.4,
93,California,Priv. Construction,515,"634,134","165,807","180,801",26.1,28.5,
93,California,Priv. Manufacturing,"1,855","2,321,150","361,384","395,719",15.6,17.0,
84,Colorado,Total,"1,917","1,390,723","146,191","172,760",10.5,12.4,
84,Colorado,Private,"1,536","1,117,032","80,004","93,153",7.2,8.3,
84,Colorado,Public,381,"273,691","66,187","79,607",24.2,29.1,
84,Colorado,Priv. Construction,80,"57,462","11,336","11,336",19.7,19.7,
84,Colorado,Priv. Manufacturing,284,"201,947","21,491","24,289",10.6,12.0,
16,Connecticut,Total,"1,929","1,543,668","299,499","316,561",19.4,20.5,
16,Connecticut,Private,"1,684","1,348,649","175,722","186,591",13.0,13.8,
16,Connecticut,Public,245,"195,018","123,777","129,971",63.5,66.6,
16,Connecticut,Priv. Construction,114,"90,432","22,265","22,265",24.6,24.6,
16,Connecticut,Priv. Manufacturing,499,"391,776","73,993","78,605",18.9,20.1,
51,Delaware,Total,"2,065","310,679","48,641","52,080",15.7,16.8,
51,Delaware,Private,"1,758","264,862","28,639","30,451",10.8,11.5,
51,Delaware,Public,307,"45,817","20,002","21,628",43.7,47.2,
51,Delaware,Priv. Construction,111,"17,369","2,501","2,681",14.4,15.4,
51,Delaware,Priv. Manufacturing,429,"64,663","14,211","14,633",22.0,22.6,
53,D.C.,Total,"1,992","296,623","44,178","56,932",14.9,19.2,
53,D.C.,Private,"1,228","182,270","19,162","23,749",10.5,13.0,
53,D.C.,Public,764,"114,353","25,016","33,183",21.9,29.0,
53,D.C.,Priv. Construction,57,"8,627","2,674","2,992",31.0,34.7,
53,D.C.,Priv. Manufacturing,63,"9,311",450,975,4.8,10.5,
59,Florida,Total,"8,196","5,045,206","393,815","539,520",7.8,10.7,
59,Florida,Private,"6,944","4,282,116","190,819","241,239",4.5,5.6,
59,Florida,Public,"1,252","763,090","202,996","298,281",26.6,39.1,
59,Florida,Priv. Construction,616,"390,704","16,825","22,699",4.3,5.8,
59,Florida,Priv. Manufacturing,982,"604,972","37,468","49,454",6.2,8.2,
58,Georgia,Total,"2,229","2,659,400","280,593","330,627",10.6,12.4,
58,Georgia,Private,"1,865","2,226,061","202,360","221,933",9.1,10.0,
58,Georgia,Public,364,"433,340","78,233","108,694",18.1,25.1,
58,Georgia,Priv. Construction,127,"157,093","17,670","17,670",11.2,11.2,
58,Georgia,Priv. Manufacturing,489,"587,560","84,720","92,707",14.4,15.8,
95,Hawaii,Total,"1,842","441,549","134,465","145,369",30.5,32.9,
95,Hawaii,Private,"1,405","336,573","72,282","80,522",21.5,23.9,
95,Hawaii,Public,437,"104,976","62,183","64,847",59.2,61.8,
95,Hawaii,Priv. Construction,96,"22,111","9,830","10,302",44.5,46.6,
95,Hawaii,Priv. Manufacturing,93,"22,324","9,384","9,888",42.0,44.3,
82,Idaho,Total,"2,136","374,357","42,321","50,906",11.3,13.6,
82,Idaho,Private,"1,692","299,121","28,638","32,200",9.6,10.8,
82,Idaho,Public,444,"75,235","13,683","18,706",18.2,24.9,
82,Idaho,Priv. Construction,88,"16,074","1,927","1,927",12.0,12.0,
82,Idaho,Priv. Manufacturing,385,"68,430","17,725","18,565",25.9,27.1,
33,Illinois,Total,"7,556","4,840,746","1,031,205","1,120,211",21.3,23.1,
33,Illinois,Private,"6,426","4,129,036","722,392","771,854",17.5,18.7,
33,Illinois,Public,"1,130","711,711","308,813","348,357",43.4,48.9,
33,Illinois,Priv. Construction,330,"211,985","102,588","106,253",48.4,50.1,
33,Illinois,Priv. Manufacturing,"1,612","1,035,712","274,160","290,069",26.5,28.0,
32,Indiana,Total,"2,366","2,361,316","485,597","529,933",20.6,22.4,
32,Indiana,Private,"2,016","2,021,186","407,557","424,394",20.2,21.0,
32,Indiana,Public,350,"340,129","78,039","105,539",22.9,31.0,
32,Indiana,Priv. Construction,99,"93,950","29,248","31,489",31.1,33.5,
32,Indiana,Priv. Manufacturing,684,"674,876","290,742","298,260",43.1,44.2,
42,Iowa,Total,"2,268","1,157,457","168,441","212,511",14.6,18.4,
42,Iowa,Private,"1,842","941,922","110,684","125,116",11.8,13.3,
42,Iowa,Public,426,"215,535","57,757","87,395",26.8,40.5,
42,Iowa,Priv. Construction,81,"42,238","9,261","10,878",21.9,25.8,
42,Iowa,Priv. Manufacturing,484,"250,167","72,889","77,626",29.1,31.0,
47,Kansas,Total,"2,248","1,043,347","127,029","148,590",12.2,14.2,
47,Kansas,Private,"1,820","845,247","88,876","98,648",10.5,11.7,
47,Kansas,Public,428,"198,100","38,153","49,942",19.3,25.2,
47,Kansas,Priv. Construction,78,"36,370","8,406","8,406",23.1,23.1,
47,Kansas,Priv. Manufacturing,439,"203,629","43,420","49,540",21.3,24.3,
61,Kentucky,Total,"1,926","1,382,978","228,042","251,129",16.5,18.2,
61,Kentucky,Private,"1,615","1,164,070","184,181","192,540",15.8,16.5,
61,Kentucky,Public,311,"218,908","43,861","58,589",20.0,26.8,
61,Kentucky,Priv. Construction,107,"78,160","13,098","13,702",16.8,17.5,
61,Kentucky,Priv. Manufacturing,413,"300,546","108,975","113,119",36.3,37.6,
72,Louisiana,Total,"1,666","1,518,785","145,438","167,956",9.6,11.1,
72,Louisiana,Private,"1,346","1,233,058","95,880","103,845",7.8,8.4,
72,Louisiana,Public,320,"285,727","49,557","64,110",17.3,22.4,
72,Louisiana,Priv. Construction,109,"105,484","18,422","19,205",17.5,18.2,
72,Louisiana,Priv. Manufacturing,182,"167,028","36,187","38,058",21.7,22.8,
11,Maine,Total,"1,934","491,653","81,545","90,973",16.6,18.5,
