"Union Membership, Coverage, Density and Employment by State, 2007 (details in table note)",,,,,,,,,,
,,,,,,,,,,
State,,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,,
63,Alabama,Total,"1,789","1,894,629","180,397","201,426",9.5,10.6,,
63,Alabama,Private,"1,460","1,555,871","75,862","85,290",4.9,5.5,,
63,Alabama,Public,329,"338,758","104,535","116,136",30.9,34.3,,
63,Alabama,Priv. Construction,127,"142,595","7,611","7,611",5.3,5.3,,
63,Alabama,Priv. Manufacturing,295,"309,522","26,284","32,417",8.5,10.5,,
94,Alaska,Total,"2,355","283,812","67,511","69,997",23.8,24.7,,
94,Alaska,Private,"1,696","205,957","26,783","28,042",13.0,13.6,,
94,Alaska,Public,659,"77,855","40,728","41,955",52.3,53.9,,
94,Alaska,Priv. Construction,156,"19,286","5,866","5,866",30.4,30.4,,
94,Alaska,Priv. Manufacturing,36,"4,576",648,784,14.2,17.1,,
86,Arizona,Total,"2,297","2,619,198","229,570","254,858",8.8,9.7,,
86,Arizona,Private,"1,928","2,206,668","143,353","154,787",6.5,7.0,,
86,Arizona,Public,369,"412,530","86,217","100,070",20.9,24.3,,
86,Arizona,Priv. Construction,228,"268,316","22,502","23,652",8.4,8.8,,
86,Arizona,Priv. Manufacturing,203,"229,128","16,177","17,289",7.1,7.5,,
71,Arkansas,Total,"1,781","1,154,073","61,882","75,179",5.4,6.5,,
71,Arkansas,Private,"1,411","918,745","31,334","35,805",3.4,3.9,,
71,Arkansas,Public,370,"235,328","30,548","39,375",13.0,16.7,,
71,Arkansas,Priv. Construction,102,"69,702","1,173","1,173",1.7,1.7,,
71,Arkansas,Priv. Manufacturing,294,"184,525","13,984","16,468",7.6,8.9,,
93,California,Total,"13,782","14,856,080","2,473,918","2,650,380",16.7,17.8,,
93,California,Private,"11,516","12,461,462","1,201,836","1,305,834",9.6,10.5,,
93,California,Public,"2,266","2,394,618","1,272,081","1,344,546",53.1,56.1,,
93,California,Priv. Construction,971,"1,082,631","178,624","184,031",16.5,17.0,,
93,California,Priv. Manufacturing,"1,480","1,601,404","140,519","150,482",8.8,9.4,,
84,Colorado,Total,"3,928","2,203,979","190,759","202,289",8.7,9.2,,
84,Colorado,Private,"3,282","1,848,721","104,082","109,701",5.6,5.9,,
84,Colorado,Public,646,"355,258","86,678","92,588",24.4,26.1,,
84,Colorado,Priv. Construction,300,"170,223","14,379","14,900",8.4,8.8,,
84,Colorado,Priv. Manufacturing,366,"206,697","31,281","32,478",15.1,15.7,,
16,Connecticut,Total,"4,027","1,617,358","253,053","268,756",15.6,16.6,,
