"Union Membership, Coverage, Density and Employment by State, 1992 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,249","1,610,379","222,433","260,860",13.8,16.2,
63,Alabama,Private,"1,843","1,327,214","157,279","169,990",11.9,12.8,
63,Alabama,Public,406,"283,165","65,154","90,870",23.0,32.1,
63,Alabama,Priv. Construction,112,"82,616","8,459","9,618",10.2,11.6,
63,Alabama,Priv. Manufacturing,562,"412,433","102,835","108,608",24.9,26.3,
94,Alaska,Total,"2,346","200,941","41,720","44,797",20.8,22.3,
94,Alaska,Private,"1,640","140,144","14,318","15,003",10.2,10.7,
94,Alaska,Public,706,"60,797","27,402","29,795",45.1,49.0,
94,Alaska,Priv. Construction,89,"7,780","2,306","2,306",29.6,29.6,
94,Alaska,Priv. Manufacturing,88,"7,769",971,"1,138",12.5,14.7,
86,Arizona,Total,"1,670","1,410,693","102,123","135,471",7.2,9.6,
86,Arizona,Private,"1,378","1,167,650","58,105","76,602",5.0,6.6,
86,Arizona,Public,292,"243,043","44,018","58,869",18.1,24.2,
86,Arizona,Priv. Construction,86,"73,780","8,618","9,294",11.7,12.6,
86,Arizona,Priv. Manufacturing,212,"178,937","4,732","9,990",2.6,5.6,
71,Arkansas,Total,"2,197","922,977","79,230","101,568",8.6,11.0,
71,Arkansas,Private,"1,780","749,950","50,440","61,861",6.7,8.2,
71,Arkansas,Public,417,"173,027","28,790","39,707",16.6,22.9,
71,Arkansas,Priv. Construction,83,"35,745","1,463","1,463",4.1,4.1,
71,Arkansas,Priv. Manufacturing,542,"229,237","27,307","34,452",11.9,15.0,
93,California,Total,"13,184","11,885,905","2,161,239","2,511,441",18.2,21.1,
93,California,Private,"11,053","9,899,429","1,233,428","1,366,426",12.5,13.8,
93,California,Public,"2,131","1,986,476","927,811","1,145,015",46.7,57.6,
93,California,Priv. Construction,563,"533,218","125,291","129,802",23.5,24.3,
93,California,Priv. Manufacturing,"2,431","2,110,423","285,271","318,989",13.5,15.1,
84,Colorado,Total,"2,072","1,423,968","144,019","169,640",10.1,11.9,
84,Colorado,Private,"1,680","1,157,893","90,087","95,333",7.8,8.2,
84,Colorado,Public,392,"266,075","53,931","74,308",20.3,27.9,
84,Colorado,Priv. Construction,101,"72,624","9,348","9,348",12.9,12.9,
84,Colorado,Priv. Manufacturing,274,"188,367","15,274","15,867",8.1,8.4,
16,Connecticut,Total,"1,837","1,475,826","263,589","280,988",17.9,19.0,
16,Connecticut,Private,"1,620","1,302,958","152,697","165,406",11.7,12.7,
16,Connecticut,Public,217,"172,868","110,892","115,582",64.1,66.9,
16,Connecticut,Priv. Construction,64,"50,939","13,286","14,012",26.1,27.5,
16,Connecticut,Priv. Manufacturing,430,"342,007","65,547","66,431",19.2,19.4,
51,Delaware,Total,"1,597","315,443","51,925","58,267",16.5,18.5,
51,Delaware,Private,"1,357","267,745","31,255","34,171",11.7,12.8,
51,Delaware,Public,240,"47,698","20,669","24,096",43.3,50.5,
51,Delaware,Priv. Construction,90,"18,267","3,264","3,415",17.9,18.7,
51,Delaware,Priv. Manufacturing,343,"67,466","16,518","17,086",24.5,25.3,
53,D.C.,Total,"1,514","235,296","31,555","40,363",13.4,17.2,
53,D.C.,Private,"1,018","157,977","13,707","16,999",8.7,10.8,
53,D.C.,Public,496,"77,318","17,848","23,364",23.1,30.2,
53,D.C.,Priv. Construction,27,"4,005",756,756,18.9,18.9,
53,D.C.,Priv. Manufacturing,53,"7,999",581,"1,115",7.3,13.9,
59,Florida,Total,"7,209","5,185,758","419,645","574,191",8.1,11.1,
59,Florida,Private,"5,931","4,256,918","177,061","230,830",4.2,5.4,
59,Florida,Public,"1,278","928,840","242,585","343,360",26.1,37.0,
59,Florida,Priv. Construction,357,"260,982","16,153","17,455",6.2,6.7,
59,Florida,Priv. Manufacturing,728,"527,653","27,932","34,405",5.3,6.5,
58,Georgia,Total,"2,024","2,705,660","196,652","222,931",7.3,8.2,
58,Georgia,Private,"1,685","2,260,338","145,035","155,762",6.4,6.9,
58,Georgia,Public,339,"445,322","51,618","67,169",11.6,15.1,
58,Georgia,Priv. Construction,71,"98,333","9,737","11,608",9.9,11.8,
58,Georgia,Priv. Manufacturing,426,"564,572","50,917","50,917",9.0,9.0,
95,Hawaii,Total,"1,838","487,978","139,617","155,581",28.6,31.9,
95,Hawaii,Private,"1,396","370,440","78,926","90,701",21.3,24.5,
95,Hawaii,Public,442,"117,538","60,691","64,880",51.6,55.2,
95,Hawaii,Priv. Construction,133,"34,773","17,761","18,492",51.1,53.2,
95,Hawaii,Priv. Manufacturing,66,"17,742","6,189","6,189",34.9,34.9,
82,Idaho,Total,"2,106","407,046","37,242","47,416",9.1,11.6,
82,Idaho,Private,"1,685","325,955","24,062","29,160",7.4,8.9,
82,Idaho,Public,421,"81,092","13,180","18,255",16.3,22.5,
82,Idaho,Priv. Construction,101,"20,386","2,049","2,173",10.1,10.7,
82,Idaho,Priv. Manufacturing,358,"70,577","10,468","12,376",14.8,17.5,
33,Illinois,Total,"7,614","5,078,956","1,042,090","1,114,553",20.5,21.9,
33,Illinois,Private,"6,522","4,355,034","706,126","745,104",16.2,17.1,
33,Illinois,Public,"1,092","723,923","335,963","369,449",46.4,51.0,
33,Illinois,Priv. Construction,266,"179,244","86,403","88,429",48.2,49.3,
33,Illinois,Priv. Manufacturing,"1,559","1,037,530","276,821","284,563",26.7,27.4,
32,Indiana,Total,"2,080","2,416,983","463,534","504,312",19.2,20.9,
32,Indiana,Private,"1,792","2,078,335","391,213","400,654",18.8,19.3,
32,Indiana,Public,288,"338,647","72,321","103,658",21.4,30.6,
32,Indiana,Priv. Construction,81,"97,127","31,462","32,363",32.4,33.3,
32,Indiana,Priv. Manufacturing,612,"672,715","249,945","254,882",37.2,37.9,
42,Iowa,Total,"2,577","1,270,960","172,226","211,746",13.6,16.7,
