"Union Membership, Coverage, Density and Employment by State, 1998 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,052","1,854,408","180,204","218,353",9.7,11.8,
63,Alabama,Private,"1,703","1,543,010","95,699","115,018",6.2,7.5,
63,Alabama,Public,349,"311,398","84,505","103,335",27.1,33.2,
63,Alabama,Priv. Construction,115,"102,436","8,035","9,781",7.8,9.5,
63,Alabama,Priv. Manufacturing,426,"385,746","53,258","58,034",13.8,15.0,
94,Alaska,Total,"1,782","252,922","51,483","57,833",20.4,22.9,
94,Alaska,Private,"1,255","181,053","18,893","21,652",10.4,12.0,
94,Alaska,Public,527,"71,869","32,590","36,181",45.3,50.3,
94,Alaska,Priv. Construction,108,"15,623","5,456","5,598",34.9,35.8,
94,Alaska,Priv. Manufacturing,66,"9,578",258,414,2.7,4.3,
86,Arizona,Total,"2,257","1,897,618","123,238","146,230",6.5,7.7,
86,Arizona,Private,"1,910","1,613,520","69,391","82,026",4.3,5.1,
86,Arizona,Public,347,"284,098","53,848","64,204",19.0,22.6,
86,Arizona,Priv. Construction,158,"138,279","14,321","15,153",10.4,11.0,
86,Arizona,Priv. Manufacturing,285,"243,192","10,307","13,755",4.2,5.7,
71,Arkansas,Total,"1,943","992,676","61,123","72,105",6.2,7.3,
71,Arkansas,Private,"1,617","826,697","37,278","42,527",4.5,5.1,
71,Arkansas,Public,326,"165,979","23,845","29,578",14.4,17.8,
71,Arkansas,Priv. Construction,78,"41,803","2,656","2,656",6.4,6.4,
71,Arkansas,Priv. Manufacturing,412,"208,127","19,364","22,516",9.3,10.8,
93,California,Total,"12,514","13,337,858","2,154,037","2,407,621",16.1,18.1,
93,California,Private,"10,528","11,220,926","1,094,797","1,192,603",9.8,10.6,
93,California,Public,"1,986","2,116,931","1,059,240","1,215,019",50.0,57.4,
93,California,Priv. Construction,573,"640,650","126,324","127,119",19.7,19.8,
93,California,Priv. Manufacturing,"2,011","2,085,015","191,045","209,735",9.2,10.1,
84,Colorado,Total,"2,501","1,886,728","171,446","189,412",9.1,10.0,
84,Colorado,Private,"2,106","1,587,806","99,451","106,924",6.3,6.7,
84,Colorado,Public,395,"298,922","71,994","82,488",24.1,27.6,
84,Colorado,Priv. Construction,160,"121,869","7,905","7,905",6.5,6.5,
84,Colorado,Priv. Manufacturing,312,"233,266","19,999","19,999",8.6,8.6,
