"Union Membership, Coverage, Density and Employment by State, 2004 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,287","1,860,961","181,286","213,109",9.7,11.5,
63,Alabama,Private,"1,893","1,552,701","87,953","101,006",5.7,6.5,
63,Alabama,Public,394,"308,260","93,333","112,103",30.3,36.4,
63,Alabama,Priv. Construction,135,"116,603","5,309","5,309",4.6,4.6,
63,Alabama,Priv. Manufacturing,400,"327,213","38,888","44,610",11.9,13.6,
94,Alaska,Total,"2,572","267,807","53,949","60,024",20.1,22.4,
94,Alaska,Private,"1,784","187,968","20,436","22,163",10.9,11.8,
94,Alaska,Public,788,"79,839","33,513","37,862",42.0,47.4,
94,Alaska,Priv. Construction,151,"15,951","3,405","3,641",21.3,22.8,
94,Alaska,Priv. Manufacturing,83,"8,901",730,730,8.2,8.2,
86,Arizona,Total,"2,353","2,323,083","145,299","183,167",6.3,7.9,
86,Arizona,Private,"1,940","1,923,383","74,093","91,164",3.9,4.7,
86,Arizona,Public,413,"399,700","71,206","92,003",17.8,23.0,
86,Arizona,Priv. Construction,189,"190,790","6,177","7,080",3.2,3.7,
86,Arizona,Priv. Manufacturing,196,"198,938","7,970","10,267",4.0,5.2,
71,Arkansas,Total,"1,840","1,058,048","50,871","65,318",4.8,6.2,
71,Arkansas,Private,"1,512","874,972","28,143","35,197",3.2,4.0,
71,Arkansas,Public,328,"183,076","22,728","30,121",12.4,16.5,
71,Arkansas,Priv. Construction,94,"59,731","1,441","1,441",2.4,2.4,
71,Arkansas,Priv. Manufacturing,333,"187,817","15,854","19,073",8.4,10.2,
93,California,Total,"11,895","14,414,248","2,384,705","2,587,552",16.5,18.0,
93,California,Private,"9,951","12,042,250","1,129,674","1,224,630",9.4,10.2,
93,California,Public,"1,944","2,371,998","1,255,031","1,362,922",52.9,57.5,
93,California,Priv. Construction,704,"887,480","133,903","144,493",15.1,16.3,
93,California,Priv. Manufacturing,"1,416","1,693,716","114,579","131,471",6.8,7.8,
84,Colorado,Total,"3,874","2,050,104","172,021","191,283",8.4,9.3,
84,Colorado,Private,"3,201","1,696,882","87,905","95,518",5.2,5.6,
84,Colorado,Public,673,"353,221","84,116","95,765",23.8,27.1,
84,Colorado,Priv. Construction,295,"160,736","10,971","11,554",6.8,7.2,
84,Colorado,Priv. Manufacturing,347,"184,007","17,573","18,591",9.6,10.1,
