"Union Membership, Coverage, Density and Employment by State, 2001 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,416","1,827,196","180,737","201,725",9.9,11.0,
63,Alabama,Private,"2,014","1,530,181","99,867","110,272",6.5,7.2,
63,Alabama,Public,402,"297,014","80,870","91,454",27.2,30.8,
63,Alabama,Priv. Construction,126,"98,164","7,197","8,137",7.3,8.3,
63,Alabama,Priv. Manufacturing,465,"353,892","55,918","58,328",15.8,16.5,
94,Alaska,Total,"2,310","269,007","59,095","66,648",22.0,24.8,
94,Alaska,Private,"1,610","191,485","23,598","26,673",12.3,13.9,
94,Alaska,Public,700,"77,522","35,497","39,975",45.8,51.6,
94,Alaska,Priv. Construction,132,"15,905","4,254","4,678",26.7,29.4,
94,Alaska,Priv. Manufacturing,79,"9,359",886,967,9.5,10.3,
86,Arizona,Total,"2,341","2,059,479","121,772","135,109",5.9,6.6,
86,Arizona,Private,"1,907","1,679,985","55,459","62,358",3.3,3.7,
86,Arizona,Public,434,"379,494","66,313","72,752",17.5,19.2,
86,Arizona,Priv. Construction,186,"159,249","9,295","9,295",5.8,5.8,
86,Arizona,Priv. Manufacturing,245,"217,801","7,589","9,276",3.5,4.3,
71,Arkansas,Total,"1,916","1,025,448","64,328","79,088",6.3,7.7,
71,Arkansas,Private,"1,560","827,407","37,462","47,469",4.5,5.7,
71,Arkansas,Public,356,"198,041","26,866","31,619",13.6,16.0,
71,Arkansas,Priv. Construction,80,"43,038","1,681","1,681",3.9,3.9,
71,Arkansas,Priv. Manufacturing,374,"193,392","17,643","23,771",9.1,12.3,
93,California,Total,"12,677","14,551,408","2,391,683","2,613,628",16.4,18.0,
93,California,Private,"10,665","12,218,919","1,185,087","1,274,074",9.7,10.4,
93,California,Public,"2,012","2,332,490","1,206,597","1,339,554",51.7,57.4,
93,California,Priv. Construction,706,"831,781","178,217","180,515",21.4,21.7,
